Type of Task,Date,Start Time,End Time,Duration (in hours)
C&F Course,1/20/2025,5:12:34 AM,6:32:15 AM,1.33
Break,1/20/2025,6:33:01 AM,6:56:22 AM,0.39
TESDA,1/20/2025,6:52:28 PM,7:12:25 PM,0.33
Adobe Photoshop,1/20/2025,7:18:04 PM,8:22:53 PM,1.08
Excel,1/20/2025,8:27:28 PM,10:05:20 PM,1.63
C&F Course,1/21/2025,6:24:40 PM,6:42:03 PM,0.29
Break,1/21/2025,6:42:14 PM,6:52:25 PM,0.17
C&F Course,1/21/2025,6:52:42 PM,7:25:38 PM,0.55
C&F Course,1/22/2025,3:19:06 AM,3:47:41 AM,0.48
C&F Course,1/22/2025,4:15:15 AM,4:46:18 AM,0.52
Break,1/22/2025,4:56:37 AM,5:12:33 AM,0.27
Adobe Photoshop,1/22/2025,5:13:02 AM,6:07:25 AM,0.91
English Lessons,1/22/2025,6:19:10 AM,7:11:20 AM,0.87
C&F Course,1/22/2025,8:25:20 PM,8:40:16 PM,0.25
Excel,1/22/2025,9:34:06 PM,10:20:27 PM,0.77
C&F Course,1/23/2025,5:36:39 AM,6:19:30 AM,0.71
Break,1/23/2025,6:19:40 AM,9:55:42 AM,3.6
Excel,1/23/2025,9:40:26 PM,1:38:55 AM,3.97
Excel,1/24/2025,7:39:27 PM,12:47:43 AM,5.14
Excel,1/25/2025,5:19:55 AM,7:54:34 AM,2.58
Excel,1/25/2025,3:59:16 PM,4:06:41 PM,0.12
Excel,1/25/2025,6:04:58 PM,7:36:24 PM,1.52
Excel,1/25/2025,7:38:29 PM,9:23:34 PM,1.75
Excel,1/26/2025,6:25:21 PM,7:03:51 PM,0.64
Excel,1/26/2025,7:39:57 PM,8:01:40 PM,0.36
Excel,1/26/2025,8:26:23 PM,11:38:21 PM,3.2
Excel,1/27/2025,6:21:24 AM,7:45:26 AM,1.4
Excel,1/27/2025,12:54:20 PM,2:24:15 PM,1.5
Excel,1/27/2025,6:42:47 PM,7:56:08 PM,1.22
C&F Course,1/28/2025,7:01:27 AM,7:28:12 AM,0.45
GitHub,1/28/2025,7:48:09 AM,7:59:45 AM,0.19
GitHub,1/28/2025,4:54:00 PM,5:27:53 PM,0.56
GitHub,1/28/2025,8:27:49 PM,8:31:03 PM,0.05
Personal G_Project,1/28/2025,8:33:07 PM,9:08:29 PM,0.59
Researching,1/28/2025,9:14:49 PM,9:42:46 PM,0.47
Web Developer,1/29/2025,5:00:50 AM,5:31:46 AM,0.52
Web Developer,1/29/2025,6:04:21 AM,6:42:02 AM,0.63
Data Analyst,1/29/2025,8:03:18 AM,9:16:32 AM,1.22
Social Media Marketer,1/29/2025,4:21:57 PM,5:33:23 PM,1.19
Social Media Marketer,1/30/2025,1:31:00 AM,2:34:53 AM,1.06
Web Developer,1/30/2025,3:22:21 AM,4:24:23 AM,1.03
Data Analyst,1/30/2025,5:00:38 AM,6:11:56 AM,1.19
Researching,1/30/2025,7:18:21 AM,8:06:15 AM,0.8
Freelancer,1/30/2025,2:15:25 PM,2:53:40 PM,0.64
Inventor,1/31/2025,9:28:23 PM,9:33:13 PM,0.08
