,TIME SHEET,,,
Type of Tasks,Date,Start Time,End Time,Duration (in hours)
Data Analyst,04/05/2025,8:58:38 pm,9:29:04 pm,0.51
Data Analyst,4/13/2025,11:38:49 pm,1:53:38 am,2.25
Data Analyst,4/14/2025,11:50:57 am,12:12:17 pm,0.36
Data Analyst,4/14/2025,11:44:25 pm,12:43:53 am,0.99
Data Analyst,4/15/2025,6:36:20 pm,8:47:33 pm,2.19
Data Analyst,4/16/2025,1:04:32 am,1:50:36 am,0.77
Data Analyst,4/16/2025,5:04:06 pm,8:41:17 pm,3.62
Data Analyst,4/16/2025,10:59:33 pm,12:41:33 am,1.7
Data Analyst,4/17/2025,1:32:22 am,2:00:47 am,0.47
Data Analyst,4/17/2025,10:44:54 am,12:11:40 pm,1.45
Data Analyst,4/17/2025,2:29:16 pm,3:37:52 pm,1.14
Data Analyst,4/17/2025,10:17:24 pm,1:17:54 am,3.01
Data Analyst,4/19/2025,12:44:13 pm,12:55:03 pm,0.18
Data Analyst,4/19/2025,5:46:09 pm,7:09:58 pm,1.4
Data Analyst,4/19/2025,7:29:22 pm,8:50:20 pm,1.35
Data Analyst,4/20/2025,6:16:27 pm,7:42:36 pm,1.44
Data Analyst,4/26/2025,2:19:28 pm,3:19:26 pm,1
Data Analyst,4/26/2025,3:36:03 pm,3:52:37 pm,0.28
Data Analyst,4/26/2025,5:24:17 pm,7:16:31 pm,1.87
Data Analyst,4/26/2025,9:26:02 pm,11:25:37 pm,1.99
