Type of Tasks,Date,Start Time,End Time,Duration (in hours)
Data Analyst,07/01/2025,3:02:13 am,4:28:26 am,1.44
Data Analyst,07/01/2025,6:24:31 am,6:58:06 am,0.56
Data Analyst,07/01/2025,1:52:49 pm,2:57:58 pm,1.09
Data Analyst,07/01/2025,4:52:36 pm,7:27:21 pm,2.58
Data Analyst,07/01/2025,8:34:47 pm,12:09:42 am,3.58
Data Analyst,07/02/2025,12:10:02 am,12:35:24 am,0.42
Data Analyst,07/02/2025,6:33:01 pm,6:55:37 pm,0.38
Data Analyst,07/02/2025,7:40:55 pm,8:06:09 pm,0.42
Data Analyst,07/02/2025,9:49:28 pm,9:58:13 pm,0.15
Data Analyst,07/03/2025,4:13:21 pm,4:29:51 pm,0.28
Data Analyst,07/03/2025,6:59:03 pm,7:48:09 pm,0.82
Data Analyst,07/03/2025,9:43:38 pm,12:06:45 am,2.39
Data Analyst,07/04/2025,12:07:48 am,12:48:32 am,0.68
Data Analyst,07/04/2025,6:30:27 am,7:55:40 am,1.42
Data Analyst,07/04/2025,8:45:57 pm,12:09:20 am,3.39
Data Analyst,07/05/2025,12:09:25 am,12:32:36 am,0.39
Data Analyst,07/05/2025,1:54:31 am,4:16:02 am,2.36
Data Analyst,07/05/2025,4:51:15 am,7:07:42 am,2.27
Data Analyst,07/05/2025,6:21:15 pm,7:59:22 pm,1.64
Data Analyst,07/05/2025,9:01:54 pm,10:47:32 pm,1.76
Data Analyst,07/05/2025,11:05:08 pm,11:30:27 pm,0.42
Data Analyst,07/06/2025,12:00:59 am,12:24:35 am,0.39
Data Analyst,07/06/2025,2:28:01 am,7:48:57 am,5.35
Data Analyst,07/07/2025,12:48:55 am,4:37:29 am,3.81
Data Analyst,07/07/2025,7:02:58 am,8:50:48 am,1.8
Data Analyst,07/07/2025,7:08:55 pm,7:51:13 pm,0.7
Data Analyst,07/07/2025,8:59:19 pm,9:04:35 pm,0.09
Data Analyst,07/07/2025,9:23:20 pm,12:04:09 am,2.68
Data Analyst,07/08/2025,12:04:16 am,1:37:01 am,1.55
Data Analyst,07/08/2025,3:31:54 pm,4:36:40 pm,1.08
Data Analyst,07/08/2025,9:52:21 pm,12:29:57 am,2.63
Data Analyst,07/09/2025,12:30:01 am,3:01:40 am,2.53
Data Analyst,07/09/2025,4:54:49 am,6:12:20 am,1.29
Data Analyst,07/09/2025,7:42:34 am,9:08:42 am,1.44
Data Analyst,07/09/2025,5:48:38 pm,6:18:48 pm,0.5
Data Analyst,07/09/2025,6:50:32 pm,7:24:34 pm,0.57
Data Analyst,07/09/2025,9:48:24 pm,12:00:07 am,2.2
Data Analyst,07/10/2025,12:00:20 am,1:54:19 am,1.9
Data Analyst,07/10/2025,5:51:14 am,8:19:45 am,2.48
Artificial Intelligence,07/10/2025,5:28:45 pm,7:15:57 pm,1.79
Artificial Intelligence,07/10/2025,8:26:31 pm,9:05:10 pm,0.64
Data Analyst,07/10/2025,9:20:42 pm,9:59:32 pm,0.65
Data Analyst,07/11/2025,5:05:45 am,8:15:05 am,3.16
Data Analyst,07/11/2025,8:48:15 am,10:14:13 am,1.43
Data Analyst,07/11/2025,11:29:11 pm,12:58:56 am,1.5
Data Analyst,07/12/2025,12:59:00 am,2:57:53 am,1.98
Data Analyst,07/12/2025,6:14:17 am,10:19:37 am,4.09
Data Analyst,07/12/2025,6:59:08 pm,7:20:05 pm,0.35
Data Analyst,07/12/2025,7:37:43 pm,10:30:01 pm,2.87
Data Analyst,7/13/2025,1:27:56 am,2:01:32 am,0.56
Data Analyst,7/13/2025,2:01:59 am,2:26:53 am,0.41
Data Analyst,7/13/2025,6:47:35 am,10:07:36 am,3.33
Data Analyst,7/14/2025,2:31:29 am,4:08:34 am,1.62
Data Analyst,7/14/2025,5:42:50 am,7:11:40 am,1.48
Data Analyst,7/14/2025,10:12:47 am,12:06:17 pm,1.89
Data Analyst,7/15/2025,8:14:40 am,12:10:19 pm,3.93
Data Analyst,7/16/2025,1:59:25 am,5:07:41 am,3.14
Data Analyst,7/16/2025,8:15:35 am,8:45:13 am,0.49
Data Analyst,7/17/2025,6:10:14 am,6:35:50 am,0.43
Data Analyst,7/17/2025,7:32:48 am,8:04:15 am,0.52
Data Analyst,7/17/2025,8:27:11 am,10:48:37 am,2.36
Data Analyst,7/17/2025,2:55:33 pm,4:38:43 pm,1.72
Data Analyst,7/17/2025,6:22:42 pm,6:57:39 pm,0.58
Data Analyst,7/17/2025,7:08:12 pm,8:44:16 pm,1.6
Data Analyst,7/18/2025,6:56:09 am,10:32:09 am,3.6
Data Analyst,7/18/2025,11:03:25 am,12:08:28 pm,1.08
Data Analyst,7/18/2025,1:19:04 pm,2:47:57 pm,1.48
Data Analyst,7/19/2025,4:21:21 am,5:49:55 am,1.48
Data Analyst,7/19/2025,6:18:28 am,8:56:09 am,2.63
Data Analyst,7/19/2025,10:33:06 am,12:15:44 pm,1.71
Data Analyst,7/19/2025,4:00:37 pm,6:30:58 pm,2.51
Data Analyst,7/20/2025,1:40:40 am,1:59:38 am,0.32
Data Analyst,7/20/2025,2:10:05 am,2:17:16 am,0.12
Data Analyst,7/20/2025,5:30:31 am,7:33:03 am,2.04
Data Analyst,7/20/2025,10:47:14 am,12:24:43 pm,1.62
Data Analyst,7/20/2025,2:56:58 pm,5:25:25 pm,2.47
Data Analyst,7/21/2025,10:02:16 am,10:20:16 am,0.3
Data Analyst,7/22/2025,10:25:10 am,10:50:46 am,0.43
Data Analyst,7/22/2025,11:20:36 am,12:06:35 pm,0.77
Data Analyst,7/22/2025,1:34:04 pm,4:45:25 pm,3.19
Data Analyst,7/23/2025,10:30:53 am,12:04:15 pm,1.56
Data Analyst,7/23/2025,12:31:10 pm,1:41:31 pm,1.17
Data Analyst,7/23/2025,2:08:25 pm,2:40:00 pm,0.53
Software Developer,7/24/2025,2:45:35 am,2:49:12 am,0.06
Data Analyst,7/24/2025,2:50:06 am,3:00:14 am,0.17
Data Analyst,7/24/2025,9:59:24 am,12:11:07 pm,2.2
Data Analyst,7/25/2025,10:01:35 am,10:19:33 am,0.3
Data Analyst,7/25/2025,11:46:00 am,12:06:00 pm,0.33
Data Analyst,7/25/2025,1:06:06 pm,1:47:10 pm,0.68
Data Analyst,7/25/2025,2:02:48 pm,3:16:21 pm,1.23
Data Analyst,7/25/2025,5:16:27 pm,5:23:49 pm,0.12
Data Analyst,7/25/2025,5:34:00 pm,6:30:52 pm,0.95
Data Analyst,7/25/2025,10:26:01 pm,11:46:05 pm,1.33
Data Analyst,7/26/2025,11:24:49 am,11:52:13 am,0.46
Data Analyst,7/26/2025,1:09:58 pm,2:51:14 pm,1.69
Data Analyst,7/26/2025,3:05:18 pm,4:31:40 pm,1.44
Data Analyst,7/26/2025,9:22:22 pm,11:26:13 pm,2.06
Data Analyst,7/27/2025,4:03:42 pm,5:05:04 pm,1.02
Data Analyst,7/27/2025,5:23:44 pm,6:42:43 pm,1.32
Data Analyst,7/27/2025,9:32:31 pm,9:55:10 pm,0.38
Data Analyst,7/27/2025,10:11:34 pm,10:49:09 pm,0.63
Data Analyst,7/28/2025,11:01:52 am,11:51:47 am,0.83
Data Analyst,7/28/2025,11:59:40 am,12:34:50 pm,0.59
Data Analyst,7/28/2025,1:27:40 pm,2:53:42 pm,1.43
Data Analyst,7/28/2025,3:49:40 pm,3:55:48 pm,0.1
Data Analyst,7/28/2025,4:14:40 pm,4:49:06 pm,0.57
Data Analyst,7/28/2025,8:30:44 pm,9:36:45 pm,1.1
Software Developer,7/28/2025,9:40:11 pm,9:47:49 pm,0.13
Data Analyst,7/28/2025,9:48:04 pm,11:19:17 pm,1.52
Data Analyst,7/29/2025,6:08:55 pm,7:46:54 pm,1.63
Data Analyst,7/29/2025,7:58:57 pm,8:55:35 pm,0.94
Data Analyst,7/29/2025,9:11:03 pm,11:44:49 pm,2.56
Data Analyst,7/30/2025,11:35:04 am,12:09:34 pm,0.57
Data Analyst,7/30/2025,1:43:08 pm,2:16:23 pm,0.55
Data Analyst,7/30/2025,4:40:20 pm,5:05:32 pm,0.42
Data Analyst,7/30/2025,6:09:58 pm,7:34:01 pm,1.4
Data Analyst,7/30/2025,7:48:19 pm,10:12:29 pm,2.4
Data Analyst,7/31/2025,8:22:59 am,10:33:16 am,2.17
Data Analyst,7/31/2025,10:10:03 pm,12:04:36 am,1.91
