TRACKER,,,,,,TIME SHEET,,,,
,,,,,,,,,,
,,,,,,,,,,
"""Give me six hours to chop down a tree and I will spend the first four sharpening the axe.""",,,,,,Type of Tasks,Date,Start Time,End Time,Duration (in hours)
,,,,,,Academics,2/3/2026,10:35:55 PM,11:50:54 PM,1.25
,,,,,,Academics,2/10/2026,11:03:41 PM,12:01:33 AM,0.96
,,,,,,Academics,2/6/2026,10:44:26 PM,11:59:44 PM,1.25
,,,,,,CAPhil,2/23/2026,5:04:14 PM,5:33:20 PM,0.48
,,,,,,,,,,
,,DATE,,,,,,,,
,,MONTH,DAY,YEAR,,,,,,
,,Feb,24,2026,,,,,,
,,,,,,,,,,
,,TASK,CAPhil,,,,,,,
,,STATUS,Done,,,,,,,
,,,,,,,,,,
,,TASKS RECORD,,,,,,,,
,,TYPE OF TASK,TIME TRACKED,,,,,,,
,,Academics,3.46,,,,,,,
,,CAPhil,0.48,,,,,,,
,,,NaN,,,,,,,
