Type of Task,Date,Start Time,End Time,Duration (in hours),Year,Month,Month_Name,Day,Day_of_Week,Week_Number,Year_Month,Day_Type,Start_Hour,Start_Minute,Start_Period,Time_Category,End_Hour,Duration_Minutes,Quarter
C&F Course,2025-01-20,5:12:34 AM,6:32:15 AM,1.33,2025,1,January,20,Monday,4,2025-01,Weekday,5,12,AM,Morning,6,79.80000000000001,1
Break,2025-01-20,6:33:01 AM,6:56:22 AM,0.39,2025,1,January,20,Monday,4,2025-01,Weekday,6,33,AM,Morning,6,23.400000000000002,1
TESDA,2025-01-20,6:52:28 PM,7:12:25 PM,0.33,2025,1,January,20,Monday,4,2025-01,Weekday,18,52,PM,Evening,19,19.8,1
Adobe Photoshop,2025-01-20,7:18:04 PM,8:22:53 PM,1.08,2025,1,January,20,Monday,4,2025-01,Weekday,19,18,PM,Evening,20,64.80000000000001,1
Excel,2025-01-20,8:27:28 PM,10:05:20 PM,1.63,2025,1,January,20,Monday,4,2025-01,Weekday,20,27,PM,Evening,22,97.8,1
C&F Course,2025-01-21,6:24:40 PM,6:42:03 PM,0.29,2025,1,January,21,Tuesday,4,2025-01,Weekday,18,24,PM,Evening,18,17.4,1
Break,2025-01-21,6:42:14 PM,6:52:25 PM,0.17,2025,1,January,21,Tuesday,4,2025-01,Weekday,18,42,PM,Evening,18,10.200000000000001,1
C&F Course,2025-01-21,6:52:42 PM,7:25:38 PM,0.55,2025,1,January,21,Tuesday,4,2025-01,Weekday,18,52,PM,Evening,19,33.0,1
C&F Course,2025-01-22,3:19:06 AM,3:47:41 AM,0.48,2025,1,January,22,Wednesday,4,2025-01,Weekday,3,19,AM,Night,3,28.799999999999997,1
C&F Course,2025-01-22,4:15:15 AM,4:46:18 AM,0.52,2025,1,January,22,Wednesday,4,2025-01,Weekday,4,15,AM,Night,4,31.200000000000003,1
Break,2025-01-22,4:56:37 AM,5:12:33 AM,0.27,2025,1,January,22,Wednesday,4,2025-01,Weekday,4,56,AM,Night,5,16.200000000000003,1
Adobe Photoshop,2025-01-22,5:13:02 AM,6:07:25 AM,0.91,2025,1,January,22,Wednesday,4,2025-01,Weekday,5,13,AM,Morning,6,54.6,1
English Lessons,2025-01-22,6:19:10 AM,7:11:20 AM,0.87,2025,1,January,22,Wednesday,4,2025-01,Weekday,6,19,AM,Morning,7,52.2,1
C&F Course,2025-01-22,8:25:20 PM,8:40:16 PM,0.25,2025,1,January,22,Wednesday,4,2025-01,Weekday,20,25,PM,Evening,20,15.0,1
Excel,2025-01-22,9:34:06 PM,10:20:27 PM,0.77,2025,1,January,22,Wednesday,4,2025-01,Weekday,21,34,PM,Night,22,46.2,1
C&F Course,2025-01-23,5:36:39 AM,6:19:30 AM,0.71,2025,1,January,23,Thursday,4,2025-01,Weekday,5,36,AM,Morning,6,42.599999999999994,1
Break,2025-01-23,6:19:40 AM,9:55:42 AM,3.6,2025,1,January,23,Thursday,4,2025-01,Weekday,6,19,AM,Morning,9,216.0,1
Excel,2025-01-23,9:40:26 PM,1:38:55 AM,3.97,2025,1,January,23,Thursday,4,2025-01,Weekday,21,40,PM,Night,1,238.20000000000002,1
Excel,2025-01-24,7:39:27 PM,12:47:43 AM,5.14,2025,1,January,24,Friday,4,2025-01,Weekday,19,39,PM,Evening,0,308.4,1
Excel,2025-01-25,5:19:55 AM,7:54:34 AM,2.58,2025,1,January,25,Saturday,4,2025-01,Weekend,5,19,AM,Morning,7,154.8,1
Excel,2025-01-25,3:59:16 PM,4:06:41 PM,0.12,2025,1,January,25,Saturday,4,2025-01,Weekend,15,59,PM,Afternoon,16,7.199999999999999,1
Excel,2025-01-25,6:04:58 PM,7:36:24 PM,1.52,2025,1,January,25,Saturday,4,2025-01,Weekend,18,4,PM,Evening,19,91.2,1
Excel,2025-01-25,7:38:29 PM,9:23:34 PM,1.75,2025,1,January,25,Saturday,4,2025-01,Weekend,19,38,PM,Evening,21,105.0,1
Excel,2025-01-26,6:25:21 PM,7:03:51 PM,0.64,2025,1,January,26,Sunday,4,2025-01,Weekend,18,25,PM,Evening,19,38.4,1
Excel,2025-01-26,7:39:57 PM,8:01:40 PM,0.36,2025,1,January,26,Sunday,4,2025-01,Weekend,19,39,PM,Evening,20,21.599999999999998,1
Excel,2025-01-26,8:26:23 PM,11:38:21 PM,3.2,2025,1,January,26,Sunday,4,2025-01,Weekend,20,26,PM,Evening,23,192.0,1
Excel,2025-01-27,6:21:24 AM,7:45:26 AM,1.4,2025,1,January,27,Monday,5,2025-01,Weekday,6,21,AM,Morning,7,84.0,1
Excel,2025-01-27,12:54:20 PM,2:24:15 PM,1.5,2025,1,January,27,Monday,5,2025-01,Weekday,12,54,PM,Afternoon,14,90.0,1
Excel,2025-01-27,6:42:47 PM,7:56:08 PM,1.22,2025,1,January,27,Monday,5,2025-01,Weekday,18,42,PM,Evening,19,73.2,1
C&F Course,2025-01-28,7:01:27 AM,7:28:12 AM,0.45,2025,1,January,28,Tuesday,5,2025-01,Weekday,7,1,AM,Morning,7,27.0,1
GitHub,2025-01-28,7:48:09 AM,7:59:45 AM,0.19,2025,1,January,28,Tuesday,5,2025-01,Weekday,7,48,AM,Morning,7,11.4,1
GitHub,2025-01-28,4:54:00 PM,5:27:53 PM,0.56,2025,1,January,28,Tuesday,5,2025-01,Weekday,16,54,PM,Afternoon,17,33.6,1
GitHub,2025-01-28,8:27:49 PM,8:31:03 PM,0.05,2025,1,January,28,Tuesday,5,2025-01,Weekday,20,27,PM,Evening,20,3.0,1
Personal G_Project,2025-01-28,8:33:07 PM,9:08:29 PM,0.59,2025,1,January,28,Tuesday,5,2025-01,Weekday,20,33,PM,Evening,21,35.4,1
Researching,2025-01-28,9:14:49 PM,9:42:46 PM,0.47,2025,1,January,28,Tuesday,5,2025-01,Weekday,21,14,PM,Night,21,28.2,1
Web Developer,2025-01-29,5:00:50 AM,5:31:46 AM,0.52,2025,1,January,29,Wednesday,5,2025-01,Weekday,5,0,AM,Morning,5,31.200000000000003,1
Web Developer,2025-01-29,6:04:21 AM,6:42:02 AM,0.63,2025,1,January,29,Wednesday,5,2025-01,Weekday,6,4,AM,Morning,6,37.8,1
Data Analyst,2025-01-29,8:03:18 AM,9:16:32 AM,1.22,2025,1,January,29,Wednesday,5,2025-01,Weekday,8,3,AM,Morning,9,73.2,1
Social Media Marketer,2025-01-29,4:21:57 PM,5:33:23 PM,1.19,2025,1,January,29,Wednesday,5,2025-01,Weekday,16,21,PM,Afternoon,17,71.39999999999999,1
